0,5,0,drone
3,0,1,.3,.3,.3
3,1,1,.3,.3,.3
3,2,1,.3,.3,.3
0,0,5,.3,.3,.3
2,0,1,.3,.3,.3
0,0,-1,.3,.3,.3
-4,0,-3,.3,.3,.3
-1,0,3,.3,.3,.3
-1,1,3,.3,.3,.3
4,0,-5,.3,.3,.3
5,0,5,.8,.7,.6
2,0,3,.8,.7,.6
0,0,0,.8,.7,.6
5,2,5,.8,.7,.6
2,0,-2,.8,.7,.6
4,0,2,.8,.7,.6
4,0,-2,.8,.7,.6
0,0,3,.8,.7,.6
0,0,-2,.8,.7,.6
-1,0,2,.8,.7,.6
-1,0,-2,.8,.7,.6
-1,2,3,.8,.7,.6
-3,0,1,.8,.7,.6
-3,0,0,.8,.7,.6
4,0,-1,.8,.7,.6
-2,0,5,.8,.7,.6
5,0,2,.8,.7,.6
5,1,2,1,.9,.8
1,0,0,1,.9,.8
1,0,-1,1,.9,.8
-5,0,1,1,.9,.8
0,2,0,1,.9,.8
4,1,2,1,.9,.8
0,1,0,1,.9,.8
5,1,5,1,.9,.8
