0,0,5,drone
1,1,0,.3,.3,.3
1,0,0,.3,.3,.3
1,-1,0,.3,.3,.3
0,1,0,.3,.3,.3
0,0,0,.3,.3,.3
0,-1,0,.3,.3,.3
-1,1,0,.3,.3,.3
-1,0,0,.3,.3,.3
-1,-1,0,.3,.3,.3
0,0,1,.3,.3,.3
2,2,0,.8,.7,.6
2,1,0,.8,.7,.6
2,0,0,.8,.7,.6
2,-1,0,.8,.7,.6
2,-2,0,.8,.7,.6
1,2,0,.8,.7,.6
1,-2,0,.8,.7,.6
0,2,0,.8,.7,.6
0,-2,0,.8,.7,.6
-1,2,0,.8,.7,.6
-1,-2,0,.8,.7,.6
-2,2,0,.8,.7,.6
-2,1,0,.8,.7,.6
-2,0,0,.8,.7,.6
-2,-1,0,.8,.7,.6
-2,-2,0,.8,.7,.6
0,0,2,.8,.7,.6
1,1,1,1,.9,.8
1,0,1,1,.9,.8
1,-1,1,1,.9,.8
0,1,1,1,.9,.8
0,-1,1,1,.9,.8
-1,1,1,1,.9,.8
-1,0,1,1,.9,.8
-1,-1,1,1,.9,.8
